Rank,Name,IATA,City,State
1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA
2,Los Angeles International Airport,LAX,Los Angeles,CA
3,O'Hare International Airport,ORD,Chicago,IL
4,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX
5,Denver International Airport,DEN,Denver,CO
6,John F. Kennedy International Airport,JFK,New York,NY
7,San Francisco International Airport,SFO,San Francisco,CA
8,McCarran International Airport,LAS,Las Vegas,NV
9,Seattle–Tacoma International Airport,SEA,Seattle/Tacoma,WA
10,Charlotte Douglas International Airport,CLT,Charlotte,NC
11,Orlando International Airport,MCO,Orlando,FL
12,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ
13,Miami International Airport,MIA,Miami,FL
14,Newark Liberty International Airport,EWR,Newark,NJ
15,George Bush Intercontinental Airport,IAH,Houston,TX
16,Logan International Airport,BOS,Boston,MA
17,Minneapolis–Saint Paul International Airport,MSP,Minneapolis/St. Paul,MN
18,Detroit Metropolitan Airport,DTW,Detroit,MI
19,Philadelphia International Airport,PHL,Philadelphia,PA
20,LaGuardia Airport,LGA,New York,NY
21,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL
22,Baltimore–Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD
23,Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA
24,Salt Lake City International Airport,SLC,Salt Lake City,UT
25,Midway International Airport,MDW,Chicago,IL
26,Washington Dulles International Airport,IAD,"Washington, D.C.",VA
27,San Diego International Airport,SAN,San Diego,CA
28,Daniel K. Inouye International Airport,HNL,Honolulu,HI
29,Tampa International Airport,TPA,Tampa,FL
30,Portland International Airport,PDX,Portland,OR
31,Dallas Love Field,DAL,Dallas,TX
32,St. Louis Lambert International Airport,STL,St. Louis,MO
33,Nashville International Airport,BNA,Nashville,TN
34,William P. Hobby Airport,HOU,Houston,TX
35,Austin-Bergstrom International Airport,AUS,Austin,TX
36,Oakland International Airport,OAK,Oakland,CA
37,Louis Armstrong New Orleans International Airport,MSY,New Orleans,LA
38,Raleigh-Durham International Airport,RDU,Raleigh/Durham,NC
39,Kansas City International Airport,MCI,Kansas City,MO
40,Norman Y. Mineta San José International Airport,SJC,San Jose,CA
41,John Wayne Airport,SNA,Santa Ana,CA
42,Sacramento International Airport,SMF,Sacramento,CA
43,Luis Muñoz Marín International Airport,SJU,San Juan,PR
44,San Antonio International Airport,SAT,San Antonio,TX
45,Southwest Florida International Airport,RSW,Fort Myers,FL
46,Indianapolis International Airport,IND,Indianapolis,IN
47,Cleveland Hopkins International Airport,CLE,Cleveland,OH
48,Pittsburgh International Airport,PIT,Pittsburgh,PA
49,John Glenn Columbus International Airport,CMH,Columbus,OH
50,General Mitchell International Airport,MKE,Milwaukee,WI
51,Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati/Covington,OH/KY
52,Kahului Airport,OGG,Kahului,HI
53,Palm Beach International Airport,PBI,West Palm Beach,FL
54,Bradley International Airport,BDL,Hartford,CT
55,Jacksonville International Airport,JAX,Jacksonville,FL
56,Ted Stevens Anchorage International Airport,ANC,Anchorage,AK
57,Albuquerque International Sunport,ABQ,Albuquerque,NM
58,Buffalo Niagara International Airport,BUF,Buffalo,NY
59,Eppley Airfield,OMA,Omaha,NE
60,Hollywood Burbank Airport,BUR,Burbank,CA
