Route,Origin,Destination,Distance
LAX - ATL,LAX,ATL,1946
LAX - ORD,LAX,ORD,1744
LAX - DFW,LAX,DFW,1234
LAX - DEN,LAX,DEN,861
LAX - JFK,LAX,JFK,2474
LAX - SFO,LAX,SFO,337
LAX - LAS,LAX,LAS,236
LAX - SEA,LAX,SEA,953
LAX - CLT,LAX,CLT,2125
LAX - MCO,LAX,MCO,2217
LAX - PHX,LAX,PHX,370
LAX - MIA,LAX,MIA,2341
LAX - EWR,LAX,EWR,2454
LAX - IAH,LAX,IAH,1379
LAX - BOS,LAX,BOS,2611
LAX - MSP,LAX,MSP,1535
LAX - DTW,LAX,DTW,1978
LAX - PHL,LAX,PHL,2401
LAX - LGA,LAX,LGA,2469
LAX - FLL,LAX,FLL,2342
LAX - BWI,LAX,BWI,2329
LAX - DCA,LAX,DCA,2310
LAX - SLC,LAX,SLC,589
LAX - MDW,LAX,MDW,1750
LAX - IAD,LAX,IAD,2288
LAX - SAN,LAX,SAN,109
LAX - HNL,LAX,HNL,2555
LAX - TPA,LAX,TPA,2157
LAX - PDX,LAX,PDX,833
LAX - DAL,LAX,DAL,1246
LAX - STL,LAX,STL,1592
LAX - BNA,LAX,BNA,1797
LAX - HOU,LAX,HOU,1389
LAX - AUS,LAX,AUS,1241
LAX - OAK,LAX,OAK,337
LAX - MSY,LAX,MSY,1670
LAX - RDU,LAX,RDU,2238
LAX - MCI,LAX,MCI,1363
LAX - SJC,LAX,SJC,307
LAX - SNA,LAX,SNA,36
LAX - SMF,LAX,SMF,372
LAX - SJU,LAX,SJU,3386
LAX - SAT,LAX,SAT,1210
LAX - RSW,LAX,RSW,2238
LAX - IND,LAX,IND,1813
LAX - CLE,LAX,CLE,2052
LAX - PIT,LAX,PIT,2135
LAX - CMH,LAX,CMH,1995
LAX - MKE,LAX,MKE,1756
LAX - CVG,LAX,CVG,1899
LAX - OGG,LAX,OGG,2485
LAX - PBI,LAX,PBI,2329
LAX - BDL,LAX,BDL,2526
LAX - JAX,LAX,JAX,2152
LAX - ANC,LAX,ANC,2345
LAX - ABQ,LAX,ABQ,677
LAX - BUF,LAX,BUF,2217
LAX - OMA,LAX,OMA,1330
LAX - BUR,LAX,BUR,18
PHX - ATL,PHX,ATL,1587
PHX - ORD,PHX,ORD,1439
PHX - DFW,PHX,DFW,867
PHX - DEN,PHX,DEN,601
PHX - JFK,PHX,JFK,2153
PHX - SFO,PHX,SFO,650
PHX - LAS,PHX,LAS,255
PHX - SEA,PHX,SEA,1106
PHX - CLT,PHX,CLT,1773
PHX - MCO,PHX,MCO,1848
PHX - MIA,PHX,MIA,1971
PHX - EWR,PHX,EWR,2132
PHX - IAH,PHX,IAH,1009
PHX - BOS,PHX,BOS,2300
PHX - MSP,PHX,MSP,1276
PHX - DTW,PHX,DTW,1670
PHX - PHL,PHX,PHL,2075
PHX - LGA,PHX,LGA,2148
PHX - FLL,PHX,FLL,1972
PHX - BWI,PHX,BWI,1998
PHX - DCA,PHX,DCA,1978
PHX - SLC,PHX,SLC,507
PHX - MDW,PHX,MDW,1443
PHX - IAD,PHX,IAD,1956
PHX - SAN,PHX,SAN,304
PHX - HNL,PHX,HNL,2917
PHX - TPA,PHX,TPA,1788
PHX - PDX,PHX,PDX,1009
PHX - DAL,PHX,DAL,879
PHX - STL,PHX,STL,1261
PHX - BNA,PHX,BNA,1448
PHX - HOU,PHX,HOU,1020
PHX - AUS,PHX,AUS,872
PHX - OAK,PHX,OAK,646
PHX - MSY,PHX,MSY,1300
PHX - RDU,PHX,RDU,1890
PHX - MCI,PHX,MCI,1043
PHX - SJC,PHX,SJC,621
PHX - SNA,PHX,SNA,338
PHX - SMF,PHX,SMF,646
PHX - SJU,PHX,SJU,3016
PHX - SAT,PHX,SAT,842
